,2024,2025
2024-07-18,-0.017886126728505425,
2024-07-19,0.017308176758917937,
2024-07-22,-0.00457069927638587,
2024-07-23,-0.028716553733917682,
2024-07-24,0.01714939283741812,
2024-07-25,-0.0014510683398868407,
2024-07-26,-0.0010859019130356473,
2024-07-29,0.010980441418956932,
2024-07-30,0.0024795392186083287,
2024-07-31,-0.04965372889971725,
2024-08-01,0.005219547766508625,
2024-08-02,0.009953543730200243,
2024-08-05,-0.00504551209990467,
2024-08-06,0.01579177735063264,
2024-08-07,-0.016946013344109057,
2024-08-08,0.005893639716092913,
2024-08-09,-0.0012975867231180827,
2024-08-12,-0.007597148463640013,
2024-08-13,-0.013992361685273624,
2024-08-14,-0.007487804395523101,
2024-08-15,0.011281590544618691,
2024-08-16,0.0043567100529695035,
2024-08-19,-0.011231994064623885,
2024-08-20,0.0055746689740865385,
2024-08-21,-0.014134235926276828,
2024-08-22,-0.0018439460352216441,
2024-08-23,-0.013129346158925748,
2024-08-26,-0.017294325184889103,
2024-08-27,-0.023664124360473993,
2024-08-28,0.0409442261832067,
2024-08-29,0.04707927066246448,
2024-08-30,0.0010547089386994113,
2024-09-03,-0.016815688417173402,
2024-09-04,-0.011968438274970183,
2024-09-05,-0.04253043376538573,
2024-09-06,0.008460241038112049,
2024-09-09,0.023418967853296058,
2024-09-10,-0.01336422093424905,
2024-09-11,0.02175120223232896,
2024-09-12,0.01735321716978272,
2024-09-13,-0.01631172926211777,
2024-09-16,0.0017776494529118114,
2024-09-17,0.008526710254300907,
2024-09-18,0.003106670908231357,
2024-09-19,-0.026597458070257318,
2024-09-20,-0.01969647157876203,
2024-09-23,-0.03436781119223048,
2024-09-24,-0.005015284906780548,
2024-09-25,-0.014754620406093821,
2024-09-26,-0.016755661993713866,
2024-09-27,-0.029358336483793213,
2024-09-30,-0.002422088869686534,
2024-10-01,-0.005418650985906381,
2024-10-02,0.03726013036153847,
2024-10-03,-0.010846402285953016,
2024-10-04,0.004037185545892219,
2024-10-07,-0.0064490703029170815,
2024-10-08,0.009069247128707159,
2024-10-09,0.0043364896541184805,
2024-10-10,0.00365805139438119,
2024-10-11,-0.00907076713462196,
2024-10-14,-0.020020257267383712,
2024-10-15,-0.019441274425684496,
2024-10-16,0.04714414741511053,
2024-10-17,-0.07213678064430107,
2024-10-18,-0.010258962234873104,
2024-10-21,0.027864025903816647,
2024-10-22,0.002334919074593267,
2024-10-23,0.014110347958042224,
2024-10-24,0.016182970746333347,
2024-10-25,-0.0008280098005271075,
2024-10-28,-0.0003354771642160026,
2024-10-29,-0.0038535090723169074,
2024-10-30,0.006380666954317826,
2024-10-31,-0.022245095700741735,
2024-11-01,-0.0010083867308981476,
2024-11-04,0.02575460864928225,
2024-11-05,0.05942855615951925,
2024-11-06,-0.029578491053597278,
2024-11-07,0.01001923854065978,
2024-11-08,0.053516972828920706,
2024-11-11,0.02434762414468511,
2024-11-12,0.017018466016869294,
2024-11-13,0.006469594694148761,
2024-11-14,0.021256854267441228,
2024-11-15,-0.003646288904008421,
2024-11-18,-0.03624086144033606,
2024-11-19,-0.007972574368489471,
2024-11-20,-0.013800074221741288,
2024-11-21,0.012949240672432416,
2024-11-22,-0.02376242185289601,
2024-11-25,0.00425014275040575,
2024-11-26,-0.010006876731540826,
2024-11-27,-0.0034110463313485884,
2024-11-29,-0.01836554834004861,
2024-12-02,-0.008601591233098449,
2024-12-03,-0.009939126257746844,
2024-12-04,0.02102541768848004,
2024-12-05,-0.05539953332000869,
2024-12-06,0.011029769276785284,
2024-12-09,0.037214780185472585,
2024-12-10,-0.015834753392314882,
2024-12-11,-0.01212315991252011,
2024-12-12,-0.045632091993446144,
2024-12-13,-0.011852060091904537,
2024-12-16,0.01171778881633001,
2024-12-17,-0.009198554746200127,
2024-12-18,0.0012757345067700987,
2024-12-19,-0.005993191394767283,
2024-12-20,0.02865414462778343,
2024-12-23,-0.01800005238964275,
2024-12-24,0.005398556151578138,
2024-12-26,0.005436058694243129,
2024-12-27,0.0023566444401410536,
2024-12-30,-0.0083327215947408,
2024-12-31,-0.026926224556957534,
2025-01-02,,-0.03757819566245002
2025-01-03,,-0.021448293722596712
2025-01-06,,0.03283502724256937
2025-01-07,,-0.012485746738797043
2025-01-08,,0.034741914742276725
2025-01-10,,-0.049379859597341924
2025-01-13,,0.03859598302851158
2025-01-14,,-0.060136431996400175
2025-01-15,,-0.014576889508912283
2025-01-16,,-0.01636775160853904
2025-01-17,,-0.025364733666336237
2025-01-21,,0.0019926071643700527
2025-01-22,,0.0029853588491359773
2025-01-23,,0.005166249854177241
2025-01-24,,-0.0167636915476147
2025-01-27,,0.019199173572220785
2025-01-28,,-0.018817598679717162
2025-01-29,,0.027948270187534263
2025-01-30,,0.008251749262241648
2025-01-31,,-0.014196383364793952
2025-02-03,,-0.020339878627535946
2025-02-04,,-0.032992817960114385
2025-02-05,,0.010946103466514145
2025-02-06,,0.010931096036988386
2025-02-07,,-0.039113884622012096
2025-02-10,,0.020043148648927145
2025-02-11,,0.008078763485551588
2025-02-12,,-0.014929145746003847
2025-02-13,,-0.044365950024706724
2025-02-14,,0.025642984537673608
2025-02-18,,-0.008969658233662192
2025-02-19,,-0.01554970371086467
2025-02-20,,0.010513323925159301
2025-02-21,,0.009444302105870994
2025-02-24,,-0.01310771902614577
2025-02-25,,-5.571639994594868e-05
2025-02-26,,0.024283854274104677
2025-02-27,,0.01516294373684568
2025-02-28,,-0.003991382859467707
2025-03-03,,0.04734704689177377
2025-03-04,,-0.00918266295116793
2025-03-05,,0.032585596441169706
2025-03-06,,-0.04395332092421628
2025-03-07,,0.052067213128727696
2025-03-10,,0.012186056327972206
2025-03-11,,-0.030254890559281322
2025-03-12,,-0.10307131929928365
2025-03-13,,-0.021991189222085428
2025-03-14,,0.02813667928938718
2025-03-17,,0.042559184631096036
2025-03-18,,-0.006483866776602065
2025-03-19,,0.010784295796166077
2025-03-20,,-0.0033906131235139636
2025-03-21,,0.012706281087814852
2025-03-24,,0.014435032835876549
2025-03-25,,0.00031200606336412307
2025-03-26,,-0.030955486729668857
2025-03-27,,0.0057935095551669424
2025-03-28,,0.002863036389073703
2025-03-31,,0.03216182692760772
2025-04-01,,0.01221850090332205
2025-04-02,,-0.032064999744047806
2025-04-03,,-0.166065196972291
2025-04-04,,0.06076606592453998
2025-04-07,,-0.0018192788431691809
2025-04-08,,0.09089572740992591
2025-04-09,,0.04358860056219249
2025-04-10,,-0.0034493369242556415
2025-04-11,,-0.0055089605216739335
2025-04-14,,-0.02041771712731205
2025-04-15,,0.028044750186127787
2025-04-16,,-0.020816852342606773
2025-04-17,,0.043161652713451515
2025-04-21,,-0.00016561460328534672
2025-04-22,,-0.0249844379785345
2025-04-23,,0.01191673089748152
2025-04-24,,-0.02380363668273744
2025-04-25,,-0.0027599322103940005
2025-04-28,,0.005274537871982232
2025-04-29,,-0.022957079810606573
2025-04-30,,0.04997196928884018
2025-05-01,,0.013598745261590328
