date,close,open,high,low,volume,mentions_sum,mentions_mean,mentions_max,mentions_days,trends_interest,days_in_week,ticker,return_1w,momentum_4w,momentum_12w,volatility_12w,volume_ratio_4w,mentions_sum_log,mentions_abnormal_w,mentions_momentum_w,mentions_peak_ratio,trends_log,trends_abnormal_w,trends_mentions_divergence_w,return_fwd_1w,direction_fwd_1w
2023-01-13,33.28200149536133,31.683000564575195,33.665000915527344,31.10700035095215,485616000.0,344,68.8,96,5,0.0,5,NFLX,0.054729873981407495,0.14485234335346941,0.1493594175344597,0.07150916108967953,1.3638782183383056,5.84354441703136,0.8202435295565432,0.5221238938053097,1.3953488372093024,0.0,-0.2886751345948127,-1.108918664151356,0.02908474434067876,1
2023-01-20,34.25,33.108001708984375,34.400001525878906,31.339000701904297,634996000.0,1724,431.0,973,4,2.0,4,NFLX,0.02908474434067876,0.16117438511512794,0.15819016017871235,0.07161696711584811,1.4567770382962713,7.45298232946546,2.6103304071036093,4.011627906976744,2.25754060324826,1.0986122886681098,3.17542648054294,0.5650960734393307,0.05334305589216459,1
2023-01-27,36.07699966430664,34.172000885009766,36.902000427246094,34.0629997253418,501706000.0,464,92.8,144,5,1.0,5,NFLX,0.05334305589216459,0.22344677835772542,0.38337355764944503,0.05864441786436561,1.0258310241165554,6.142037405587356,0.6555602767653104,-0.7308584686774942,1.5517241379310345,0.6931471805599453,1.5136956166283695,0.8581353398630591,0.01421959955247587,1
2023-02-03,36.59000015258789,35.84400177001953,37.94300079345703,34.87099838256836,360525000.0,1307,261.4,440,5,1.0,5,NFLX,0.01421959955247587,0.15956266197805258,0.26115877492116324,0.052452334659228446,0.727289049107771,7.176254532017144,1.6486581374290117,1.8168103448275863,1.6832440703902067,0.6931471805599453,1.2537815881808227,-0.39487654924818893,-0.05066958414378708,0
2023-02-10,34.736000061035156,36.36399841308594,37.382999420166016,34.7140007019043,317297000.0,3758,751.6,2012,5,0.0,5,NFLX,-0.05066958414378708,0.04368723334972735,0.20619486270308873,0.05593610152985459,0.6994605747843512,8.231908243564177,2.063595717640887,1.8752869166029074,2.676955827567855,0.0,-0.5341342778458279,-2.597729995486715,0.0017273541336246812,1
2023-02-17,34.79600143432617,34.95000076293945,36.375,34.24399948120117,262356000.0,187,37.4,54,5,0.0,5,NFLX,0.0017273541336246812,0.015941647717552465,0.21860336180707152,0.05558748870118015,0.7278144427707083,5.236441962829949,-0.8397364997330252,-0.9502394890899415,1.4438502673796791,0.0,-0.5341342778458279,0.3056022218871973,-0.0885446934916746,0
2023-02-24,31.71500015258789,34.28499984741211,34.41299819946289,31.43000030517578,303259000.0,181,45.25,95,4,0.0,4,NFLX,-0.0885446934916746,-0.12090804535595467,-0.010174470518930279,0.05292274532647673,0.975550832088799,5.204006687076795,-0.8642484866373623,-0.03208556149732622,2.0994475138121547,0.0,-0.5341342778458279,0.3301142087915344,-0.006211587658591422,0
2023-03-03,31.51799964904785,32.387001037597656,33.0,31.038000106811523,255943000.0,137,27.4,45,5,0.0,5,NFLX,-0.006211587658591422,-0.1386171216832125,-0.015093272395447777,0.05295669836109195,0.8989485052969869,4.927253685157205,-1.0679653323354064,-0.24309392265193375,1.6423357664233578,0.0,-0.5341342778458279,0.5338310544895785,-0.07113397438919367,0
2023-03-10,29.275999069213867,31.700000762939453,32.33000183105469,28.899999618530273,268960000.0,151,30.2,48,5,0.0,5,NFLX,-0.07113397438919367,-0.15718565701944487,0.007051698590749389,0.049989742290563674,0.9865403413790511,5.0238805208462765,-0.9243544060011832,0.10218978102189791,1.589403973509934,0.0,-0.5341342778458279,0.39022012815535534,0.036685385517219116,1
2023-03-17,30.350000381469727,28.733999252319336,31.65999984741211,28.53300094604492,362869000.0,103,20.6,31,5,0.0,5,NFLX,0.036685385517219116,-0.12777333226772647,0.028953081202832465,0.05090368862600022,1.2186718901523135,4.6443908991413725,-1.072876707266175,-0.3178807947019867,1.5048543689320388,0.0,-0.5341342778458279,0.538742429420347,0.08200989420593996,1
2023-03-24,32.8390007019043,29.979000091552734,33.18299865722656,29.354000091552734,444527000.0,242,48.4,149,5,0.0,5,NFLX,0.08200989420593996,0.0354406603786408,0.11363943751069283,0.05565638841190416,1.3346163286169246,5.493061443340548,-0.3588920979913502,1.349514563106796,3.078512396694215,0.0,-0.5341342778458279,-0.1752421798544777,0.05204176732728527,1
2023-03-31,34.54800033569336,32.755001068115234,34.58399963378906,32.12799835205078,341442000.0,163,32.6,45,5,0.0,5,NFLX,0.05204176732728527,0.09613556445156712,0.0948502614980693,0.05412007631303392,0.9633022475698231,5.099866427824199,-0.6721527116443758,-0.32644628099173556,1.3803680981595092,0.0,-0.5341342778458279,0.13801843379854795,-0.017801368313389965,0
2023-04-07,33.93299865722656,34.18299865722656,34.97999954223633,33.26300048828125,165778000.0,76,19.0,29,4,0.0,4,NFLX,-0.017801368313389965,0.15907226861849155,0.019560036434586703,0.052569280038496286,0.5044149774534922,4.343805421853684,-1.1395473302226002,-0.5337423312883436,1.5263157894736843,0.0,-0.5341342778458279,0.6054130523767723,-0.00206287972163377,0
2023-04-14,33.862998962402344,33.527000427246094,34.7140007019043,33.00400161743164,234250000.0,118,23.6,50,5,0.0,5,NFLX,-0.00206287972163377,0.11574953992677672,-0.01129930036781479,0.051923638180933915,0.7900525886659072,4.77912349311153,-0.6580580148428801,0.5526315789473684,2.11864406779661,0.0,-0.4281744192888375,0.22988359555404259,-0.03145021585038699,0
2023-04-21,32.79800033569336,33.79999923706055,33.8390007019043,31.61000061035156,625046000.0,1758,351.6,870,5,1.0,5,NFLX,-0.03145021585038699,-0.0012485266096590175,-0.09088891424242829,0.04977412650475772,1.8296046295835542,7.472500744737558,1.4600724573159938,13.898305084745763,2.4744027303754264,0.6931471805599453,2.140872096444187,0.6807996391281934,0.005945475115201049,1
2023-04-28,32.99300003051758,33.02000045776367,33.465999603271484,31.743999481201172,254836000.0,588,117.6,424,5,0.0,5,NFLX,0.005945475115201049,-0.045009849776145416,-0.09830555089013604,0.04951361963163156,0.796418498175653,6.3784261836515865,0.680794181329963,-0.6655290102389079,3.6054421768707483,0.0,-0.2886751345948127,-0.9694693159247758,-0.021731853826323033,0
2023-05-05,32.2760009765625,32.944000244140625,33.12300109863281,31.562000274658203,225945000.0,74,14.8,20,5,0.0,5,NFLX,-0.021731853826323033,-0.048831454520191,-0.0708198721830422,0.04789586313312418,0.6744239323561259,4.31748811353631,-1.039243925806229,-0.8741496598639455,1.3513513513513513,0.0,-0.2886751345948127,0.7505687912114163,0.05307341010949118,1
2023-05-12,33.98899841308594,32.29899978637695,34.81700134277344,32.202999114990234,294393000.0,130,26.0,32,5,0.0,5,NFLX,0.05307341010949118,0.0037208591838984173,-0.023192406827645673,0.05076346240837256,0.8409907014611989,4.875197323201151,-0.37677016477375264,0.7567567567567568,1.2307692307692308,0.0,-0.2886751345948127,0.08809503017893994,0.07493603824551531,1
2023-05-19,36.5359992980957,34.0620002746582,37.58700180053711,32.96200180053711,397289000.0,190,38.0,138,5,0.0,5,NFLX,0.07493603824551531,0.11397033124407763,0.1520100621886462,0.04685029142071711,1.355399701312536,5.25227342804663,0.0390070848558172,0.46153846153846145,3.6315789473684212,0.0,-0.2886751345948127,-0.3276822194506299,0.03700463149111166,1
2023-05-26,37.88800048828125,36.5359992980957,38.375999450683594,35.430999755859375,358693000.0,599,119.8,311,5,0.0,5,NFLX,0.03700463149111166,0.1483648183928694,0.20210676153827012,0.0469120959811862,1.1241475492039614,6.396929655216146,1.1096647533779405,2.1526315789473682,2.595993322203673,0.0,-0.2886751345948127,-1.398339887972753,0.05698375129076272,1
2023-06-02,40.047000885009766,39.74800109863281,40.75199890136719,38.57899856567383,309155000.0,106,26.5,44,4,0.0,4,NFLX,0.05698375129076272,0.2407671233524329,0.3679123568193612,0.03909184422852977,0.9095937566659066,4.672828834461906,-0.6583711931159271,-0.8230383973288815,1.6603773584905661,0.0,-0.2886751345948127,0.36969605852111437,0.048817588662156464,1
2023-06-09,42.00199890136719,40.047000885009766,42.59000015258789,39.63399887084961,425254000.0,502,100.4,256,5,1.0,5,NFLX,0.048817588662156464,0.23575276890760644,0.3839208689767142,0.039515849157966146,1.1413219752400545,6.220590170099739,0.7972107050325885,3.735849056603773,2.549800796812749,0.6931471805599453,2.140872096444187,1.3436613914115987,0.028427224307692622,1
2023-06-16,43.19599914550781,41.882999420166016,44.8650016784668,41.65700149536133,380467000.0,158,31.6,44,5,1.0,5,NFLX,0.028427224307692622,0.1822859638537171,0.3153871379223463,0.03572133852344193,1.032776883878529,5.0689042022202315,-0.3436109724285906,-0.6852589641434264,1.3924050632911391,0.6931471805599453,1.6583123951776995,2.00192336760629,-0.01838130229577739,0
